time,src,dst,type,bytes,id,seq,ttl
590.404752,192.168.100.1,192.168.100.2,request,74,1,91,128
590.406417,192.168.100.2,192.168.100.1,reply,74,1,91,128
621.31722,192.168.100.1,192.168.200.1,request,74,1,92,128
621.319479,192.168.200.1,192.168.100.1,reply,74,1,92,126
632.661298,192.168.100.1,192.168.200.2,request,74,1,93,128
632.663588,192.168.200.2,192.168.100.1,reply,74,1,93,126
683.24512,192.168.100.2,192.168.100.1,request,74,1,174,128
683.245177,192.168.100.1,192.168.100.2,reply,74,1,174,128
769.973867,192.168.200.1,192.168.100.1,request,74,1,44,126
769.973937,192.168.100.1,192.168.200.1,reply,74,1,44,128
803.636376,192.168.200.2,192.168.100.1,request,74,1,41,126
803.636445,192.168.100.1,192.168.200.2,reply,74,1,41,128
1036.715832,192.168.100.1,192.168.200.1,request,1042,1,94,128
1036.720558,192.168.200.1,192.168.100.1,reply,1042,1,94,126
1037.73374,192.168.100.1,192.168.200.1,request,1042,1,95,128
1037.737906,192.168.200.1,192.168.100.1,reply,1042,1,95,126
1038.749336,192.168.100.1,192.168.200.1,request,1042,1,96,128
1038.753412,192.168.200.1,192.168.100.1,reply,1042,1,96,126
1039.76497,192.168.100.1,192.168.200.1,request,1042,1,97,128
1039.769171,192.168.200.1,192.168.100.1,reply,1042,1,97,126
1040.780606,192.168.100.1,192.168.200.1,request,1042,1,98,128
1040.784775,192.168.200.1,192.168.100.1,reply,1042,1,98,126
1041.796242,192.168.100.1,192.168.200.1,request,1042,1,99,128
1041.800345,192.168.200.1,192.168.100.1,reply,1042,1,99,126
1042.811911,192.168.100.1,192.168.200.1,request,1042,1,100,128
1042.816025,192.168.200.1,192.168.100.1,reply,1042,1,100,126
1043.827538,192.168.100.1,192.168.200.1,request,1042,1,101,128
1043.831638,192.168.200.1,192.168.100.1,reply,1042,1,101,126
1044.843186,192.168.100.1,192.168.200.1,request,1042,1,102,128
1044.847303,192.168.200.1,192.168.100.1,reply,1042,1,102,126
1045.858776,192.168.100.1,192.168.200.1,request,1042,1,103,128
1045.862917,192.168.200.1,192.168.100.1,reply,1042,1,103,126
1046.874416,192.168.100.1,192.168.200.1,request,1042,1,104,128
1046.878612,192.168.200.1,192.168.100.1,reply,1042,1,104,126
1047.890139,192.168.100.1,192.168.200.1,request,1042,1,105,128
1047.894278,192.168.200.1,192.168.100.1,reply,1042,1,105,126
1048.905698,192.168.100.1,192.168.200.1,request,1042,1,106,128
1048.909834,192.168.200.1,192.168.100.1,reply,1042,1,106,126
1049.921365,192.168.100.1,192.168.200.1,request,1042,1,107,128
1049.925599,192.168.200.1,192.168.100.1,reply,1042,1,107,126
1050.936953,192.168.100.1,192.168.200.1,request,1042,1,108,128
1050.941117,192.168.200.1,192.168.100.1,reply,1042,1,108,126
1051.952612,192.168.100.1,192.168.200.1,request,1042,1,109,128
1051.956721,192.168.200.1,192.168.100.1,reply,1042,1,109,126
1052.968221,192.168.100.1,192.168.200.1,request,1042,1,110,128
1052.972326,192.168.200.1,192.168.100.1,reply,1042,1,110,126
1052.975858,192.168.100.2,192.168.100.1,request,1242,1,177,128
1052.975919,192.168.100.1,192.168.100.2,reply,1242,1,177,128
1053.983051,192.168.100.2,192.168.100.1,request,1242,1,178,128
1053.983101,192.168.100.1,192.168.100.2,reply,1242,1,178,128
1054.998627,192.168.100.2,192.168.100.1,request,1242,1,179,128
1054.998677,192.168.100.1,192.168.100.2,reply,1242,1,179,128
1056.014297,192.168.100.2,192.168.100.1,request,1242,1,180,128
1056.014348,192.168.100.1,192.168.100.2,reply,1242,1,180,128
1057.029912,192.168.100.2,192.168.100.1,request,1242,1,181,128
1057.029966,192.168.100.1,192.168.100.2,reply,1242,1,181,128
1058.0455,192.168.100.2,192.168.100.1,request,1242,1,182,128
1058.045551,192.168.100.1,192.168.100.2,reply,1242,1,182,128
1059.061124,192.168.100.2,192.168.100.1,request,1242,1,183,128
1059.061175,192.168.100.1,192.168.100.2,reply,1242,1,183,128
1060.076738,192.168.100.2,192.168.100.1,request,1242,1,184,128
1060.076788,192.168.100.1,192.168.100.2,reply,1242,1,184,128
1061.092393,192.168.100.2,192.168.100.1,request,1242,1,185,128
1061.092445,192.168.100.1,192.168.100.2,reply,1242,1,185,128
1062.108019,192.168.100.2,192.168.100.1,request,1242,1,186,128
1062.108076,192.168.100.1,192.168.100.2,reply,1242,1,186,128
1063.123649,192.168.100.2,192.168.100.1,request,1242,1,187,128
1063.123699,192.168.100.1,192.168.100.2,reply,1242,1,187,128
1064.139268,192.168.100.2,192.168.100.1,request,1242,1,188,128
1064.139322,192.168.100.1,192.168.100.2,reply,1242,1,188,128
1065.154853,192.168.100.2,192.168.100.1,request,1242,1,189,128
1065.154903,192.168.100.1,192.168.100.2,reply,1242,1,189,128
1066.170475,192.168.100.2,192.168.100.1,request,1242,1,190,128
1066.170525,192.168.100.1,192.168.100.2,reply,1242,1,190,128
1067.186094,192.168.100.2,192.168.100.1,request,1242,1,191,128
1067.186148,192.168.100.1,192.168.100.2,reply,1242,1,191,128
1173.474612,192.168.100.1,192.168.100.2,request,842,1,111,128
1173.476734,192.168.100.2,192.168.100.1,reply,842,1,111,128
1174.485,192.168.100.1,192.168.100.2,request,842,1,112,128
1174.487103,192.168.100.2,192.168.100.1,reply,842,1,112,128
1175.500673,192.168.100.1,192.168.100.2,request,842,1,113,128
1175.50281,192.168.100.2,192.168.100.1,reply,842,1,113,128
1176.516269,192.168.100.1,192.168.100.2,request,842,1,114,128
1176.518386,192.168.100.2,192.168.100.1,reply,842,1,114,128
1177.531905,192.168.100.1,192.168.100.2,request,842,1,115,128
1177.534023,192.168.100.2,192.168.100.1,reply,842,1,115,128
1178.547555,192.168.100.1,192.168.100.2,request,842,1,116,128
1178.549634,192.168.100.2,192.168.100.1,reply,842,1,116,128
1179.563194,192.168.100.1,192.168.100.2,request,842,1,117,128
1179.565292,192.168.100.2,192.168.100.1,reply,842,1,117,128
1180.57883,192.168.100.1,192.168.100.2,request,842,1,118,128
1180.580932,192.168.100.2,192.168.100.1,reply,842,1,118,128
1181.594468,192.168.100.1,192.168.100.2,request,842,1,119,128
1181.596595,192.168.100.2,192.168.100.1,reply,842,1,119,128
1182.610083,192.168.100.1,192.168.100.2,request,842,1,120,128
1182.612214,192.168.100.2,192.168.100.1,reply,842,1,120,128
1183.625693,192.168.100.1,192.168.100.2,request,842,1,121,128
1183.627791,192.168.100.2,192.168.100.1,reply,842,1,121,128
1184.64133,192.168.100.1,192.168.100.2,request,842,1,122,128
1184.643439,192.168.100.2,192.168.100.1,reply,842,1,122,128
1185.657004,192.168.100.1,192.168.100.2,request,842,1,123,128
1185.659171,192.168.100.2,192.168.100.1,reply,842,1,123,128
1186.672642,192.168.100.1,192.168.100.2,request,842,1,124,128
1186.674672,192.168.100.2,192.168.100.1,reply,842,1,124,128
1187.688286,192.168.100.1,192.168.100.2,request,842,1,125,128
1187.69039,192.168.100.2,192.168.100.1,reply,842,1,125,128
1188.703864,192.168.100.1,192.168.100.2,request,842,1,126,128
1188.705965,192.168.100.2,192.168.100.1,reply,842,1,126,128
1189.719537,192.168.100.1,192.168.100.2,request,842,1,127,128
1189.721636,192.168.100.2,192.168.100.1,reply,842,1,127,128
1190.735133,192.168.100.1,192.168.100.2,request,842,1,128,128
1190.737232,192.168.100.2,192.168.100.1,reply,842,1,128,128
1191.750771,192.168.100.1,192.168.100.2,request,842,1,129,128
1191.752878,192.168.100.2,192.168.100.1,reply,842,1,129,128
1192.766447,192.168.100.1,192.168.100.2,request,842,1,130,128
1192.768546,192.168.100.2,192.168.100.1,reply,842,1,130,128
1193.782062,192.168.100.1,192.168.100.2,request,842,1,131,128
1193.784164,192.168.100.2,192.168.100.1,reply,842,1,131,128
1194.797735,192.168.100.1,192.168.100.2,request,842,1,132,128
1194.799814,192.168.100.2,192.168.100.1,reply,842,1,132,128
1195.813305,192.168.100.1,192.168.100.2,request,842,1,133,128
1195.815412,192.168.100.2,192.168.100.1,reply,842,1,133,128
1196.828962,192.168.100.1,192.168.100.2,request,842,1,134,128
1196.831063,192.168.100.2,192.168.100.1,reply,842,1,134,128
1197.844574,192.168.100.1,192.168.100.2,request,842,1,135,128
1197.84642,192.168.100.2,192.168.100.1,reply,842,1,135,128
1198.860239,192.168.100.1,192.168.100.2,request,842,1,136,128
1198.862359,192.168.100.2,192.168.100.1,reply,842,1,136,128
1199.875906,192.168.100.1,192.168.100.2,request,842,1,137,128
1199.878021,192.168.100.2,192.168.100.1,reply,842,1,137,128
1200.891507,192.168.100.1,192.168.100.2,request,842,1,138,128
1200.893608,192.168.100.2,192.168.100.1,reply,842,1,138,128
1201.907157,192.168.100.1,192.168.100.2,request,842,1,139,128
1201.909257,192.168.100.2,192.168.100.1,reply,842,1,139,128
1202.92276,192.168.100.1,192.168.100.2,request,842,1,140,128
1202.92486,192.168.100.2,192.168.100.1,reply,842,1,140,128
1203.938382,192.168.100.1,192.168.100.2,request,842,1,141,128
1203.940483,192.168.100.2,192.168.100.1,reply,842,1,141,128
1204.954016,192.168.100.1,192.168.100.2,request,842,1,142,128
1204.956111,192.168.100.2,192.168.100.1,reply,842,1,142,128
1205.969712,192.168.100.1,192.168.100.2,request,842,1,143,128
1205.971816,192.168.100.2,192.168.100.1,reply,842,1,143,128
1206.98533,192.168.100.1,192.168.100.2,request,842,1,144,128
1206.987429,192.168.100.2,192.168.100.1,reply,842,1,144,128
1208.000952,192.168.100.1,192.168.100.2,request,842,1,145,128
1208.003061,192.168.100.2,192.168.100.1,reply,842,1,145,128
1209.016578,192.168.100.1,192.168.100.2,request,842,1,146,128
1209.018743,192.168.100.2,192.168.100.1,reply,842,1,146,128
1210.032187,192.168.100.1,192.168.100.2,request,842,1,147,128
1210.034285,192.168.100.2,192.168.100.1,reply,842,1,147,128
1211.047879,192.168.100.1,192.168.100.2,request,842,1,148,128
1211.050015,192.168.100.2,192.168.100.1,reply,842,1,148,128
1212.063461,192.168.100.1,192.168.100.2,request,842,1,149,128
1212.065546,192.168.100.2,192.168.100.1,reply,842,1,149,128
1213.079091,192.168.100.1,192.168.100.2,request,842,1,150,128
1213.08119,192.168.100.2,192.168.100.1,reply,842,1,150,128
1214.094781,192.168.100.1,192.168.100.2,request,842,1,151,128
1214.096881,192.168.100.2,192.168.100.1,reply,842,1,151,128
1215.110397,192.168.100.1,192.168.100.2,request,842,1,152,128
1215.112536,192.168.100.2,192.168.100.1,reply,842,1,152,128
1216.126024,192.168.100.1,192.168.100.2,request,842,1,153,128
1216.128122,192.168.100.2,192.168.100.1,reply,842,1,153,128
1217.141656,192.168.100.1,192.168.100.2,request,842,1,154,128
1217.14376,192.168.100.2,192.168.100.1,reply,842,1,154,128
1218.157287,192.168.100.1,192.168.100.2,request,842,1,155,128
1218.159384,192.168.100.2,192.168.100.1,reply,842,1,155,128
1219.172898,192.168.100.1,192.168.100.2,request,842,1,156,128
1219.174999,192.168.100.2,192.168.100.1,reply,842,1,156,128
1220.188531,192.168.100.1,192.168.100.2,request,842,1,157,128
1220.190631,192.168.100.2,192.168.100.1,reply,842,1,157,128
1221.20421,192.168.100.1,192.168.100.2,request,842,1,158,128
1221.20631,192.168.100.2,192.168.100.1,reply,842,1,158,128
1222.219839,192.168.100.1,192.168.100.2,request,842,1,159,128
1222.221938,192.168.100.2,192.168.100.1,reply,842,1,159,128
1223.23548,192.168.100.1,192.168.100.2,request,842,1,160,128
1223.237587,192.168.100.2,192.168.100.1,reply,842,1,160,128
1224.251072,192.168.100.1,192.168.100.2,request,842,1,161,128
1224.253179,192.168.100.2,192.168.100.1,reply,842,1,161,128
1225.266741,192.168.100.1,192.168.100.2,request,842,1,162,128
1225.268903,192.168.100.2,192.168.100.1,reply,842,1,162,128
1226.28238,192.168.100.1,192.168.100.2,request,842,1,163,128
1226.284489,192.168.100.2,192.168.100.1,reply,842,1,163,128
1227.298011,192.168.100.1,192.168.100.2,request,842,1,164,128
1227.300119,192.168.100.2,192.168.100.1,reply,842,1,164,128
1228.313646,192.168.100.1,192.168.100.2,request,842,1,165,128
1228.315726,192.168.100.2,192.168.100.1,reply,842,1,165,128
1229.32926,192.168.100.1,192.168.100.2,request,842,1,166,128
1229.331339,192.168.100.2,192.168.100.1,reply,842,1,166,128
1230.34492,192.168.100.1,192.168.100.2,request,842,1,167,128
1230.34707,192.168.100.2,192.168.100.1,reply,842,1,167,128
1231.360512,192.168.100.1,192.168.100.2,request,842,1,168,128
1231.362633,192.168.100.2,192.168.100.1,reply,842,1,168,128
